,24km,23km,22km,21km,20km,19km,18km,17km,16km,15km,14km,13km,12km,11km,10km,9km,8km,7km,6km,5km,4km,3km,2km,1km,0km,-1km,-2km,-3km,-4km,-5km,-6km,-7km,-8km,-9km,-10km,-11km
1973-11-01,-9999.0,3.944,-9999.0,3.9819999999999998,3.8930000000000002,4.093999999999999,5.54,7.48,9.79,11.001,12.686,13.048,13.922,13.69,13.06,11.529000000000002,10.697000000000001,9.2,8.363,6.966,6.025,5.034,3.875,3.688,2.7910000000000004,1.75,1.949,1.825,2.625,2.523,2.741,3.045,3.81,4.453,4.17,4.792
1973-12-01,-9999.0,-9999.0,3.803,3.9819999999999998,4.849,5.513999999999999,6.196000000000001,7.997000000000001,9.266,10.829,12.16,13.25,14.22,14.89,14.687999999999999,14.889000000000001,13.649000000000001,12.25,11.107000000000001,9.773,6.36,5.2139999999999995,5.122999999999999,4.346,3.135,1.817,1.5190000000000001,1.7369999999999999,1.9880000000000002,2.438,2.7239999999999998,2.875,3.097,3.258,3.1489999999999996,2.883
1974-01-01,2.872,4.078,4.106,5.026,5.77,6.556,7.505,9.005,9.885,11.196,13.038,14.53,15.999,17.063,17.152,16.657,15.44,14.037,12.349,11.126,8.826,6.766,5.03,5.119,3.072,1.4340000000000002,1.348,1.589,1.916,2.138,2.434,2.8280000000000003,3.125,3.5789999999999997,3.6310000000000002,3.0269999999999997
1974-02-01,-9999.0,-9999.0,4.723,6.35,7.771,7.122000000000001,6.983,8.961,9.705,11.450999999999999,12.39,13.064,13.902999999999999,15.124,15.555,16.293,14.255999999999998,14.029000000000002,12.084000000000001,11.870999999999999,10.372,9.342,9.027000000000001,6.952000000000001,4.345,2.465,2.451,2.33,2.387,2.864,3.173,3.511,3.9539999999999997,3.918,4.117,3.9760000000000004
1974-03-01,4.531000000000001,4.9910000000000005,5.146,5.731,7.584,6.752999999999999,7.742000000000001,8.52,9.503,10.651,11.056,11.890999999999998,12.894,13.788,14.095999999999998,14.248,12.949000000000002,12.015,11.088,10.588,10.465,10.418,10.141,8.097000000000001,5.138,2.439,1.764,2.214,2.423,2.786,3.347,3.583,3.5669999999999997,3.556,3.284,3.386
1974-04-01,4.649,5.263999999999999,5.647,6.497000000000001,7.962999999999999,8.85,9.912,11.024000000000001,11.475,12.253,12.569,12.948,13.255,14.1,15.18,15.418,15.982000000000001,15.005,12.918,11.383,11.113,9.943999999999999,8.43,7.955,4.8580000000000005,2.206,1.944,2.323,2.5639999999999996,3.0060000000000002,3.109,3.2710000000000004,3.639,4.062,4.081,3.647
1974-05-01,5.4,5.724,6.591,7.938,8.597999999999999,9.669,10.568,11.568,12.123,12.617,13.421,13.745999999999999,14.175,15.311,15.842,15.642999999999999,15.815999999999999,14.040999999999999,11.859000000000002,9.872,9.399,8.776,8.181000000000001,8.343,5.197,1.9169999999999998,1.7309999999999999,1.695,1.936,2.002,2.492,2.7319999999999998,3.012,2.8480000000000003,2.603,2.421
1974-06-01,-9999.0,6.847,6.655,7.087000000000001,8.198,9.353,9.673,10.545,11.478,12.265,12.722999999999999,13.208,13.877,14.588,14.327,13.085,12.186,10.394,9.206,9.536,8.735,8.476,8.003,8.192,5.318,2.394,2.141,2.43,2.764,2.927,3.1719999999999997,3.569,3.8139999999999996,4.2330000000000005,4.289,3.946
1974-07-01,5.622000000000001,6.336,6.724,7.287999999999999,8.083,9.315,9.999,10.872,11.293,12.184000000000001,12.776,12.72,12.892999999999999,13.01,13.299000000000001,12.668,11.33,10.03,9.042,7.72,6.569,5.392,5.0569999999999995,5.039,4.683,2.697,2.3209999999999997,2.381,2.642,2.783,3.029,3.5780000000000003,3.735,3.612,3.6630000000000003,3.603
1974-08-01,-9999.0,4.95,6.215,6.681,7.254,7.761,8.253,9.357999999999999,10.057,10.902000000000001,11.218,11.784,12.347999999999999,12.665,13.075999999999999,12.294,11.758,10.350999999999999,9.329,8.321,6.281000000000001,5.0569999999999995,4.013999999999999,4.177,3.655,2.154,2.113,2.5380000000000003,2.6489999999999996,2.838,3.428,3.528,3.59,4.288,4.683,4.875
