date,0km_ds,1km_ds,2km_ds,3km_ds,4km_ds,5km_ds,6km_ds,7km_ds,8km_ds,9km_ds,10km_ds,11km_ds
2009-08-01,-0.32509145660075517,-0.15966587112171837,-0.10267597094592151,-0.06317567996747858,-0.013656048247828114,-0.07523036324570627,-0.11149882071661676,-0.17661674132138871,-0.22162018289321092,-0.2628990962578632,-0.2734177215189875,-0.6547256391470327
2009-09-01,-0.09092313634607953,0.018832643248296928,-0.00978577096006352,-0.019867220946826147,-0.05546473144862241,-0.05946834749246351,-0.012289780077619689,-0.025333846238390863,-0.0718153991052507,-0.023147165003185387,-0.01730457048181703,-0.34622515638266543
2009-10-01,0.32825289793364737,-0.0707717178141728,-0.11085163735354557,0.0009564801530366378,0.010505182556727865,0.16194654966094918,0.218338018132151,-0.04071043703851536,-0.1947471818139295,-0.3249799649115208,,
2009-11-01,0.09246491830898516,-0.03556712532539961,-0.06894374366730788,-0.01791564131099215,-0.031740774955988364,-0.02517580325575951,-0.010208122497470056,-0.1181972197080462,-0.1496616852455826,-0.12157253461195192,-0.0748969615642673,-0.665163472378805
2009-12-01,-0.15334605485044822,-0.06280667320902837,-0.02998352553542016,-0.04732917854324686,-0.024524151471630885,0.020708435791655606,0.09516981808405765,0.0381493900957378,0.018037481786665418,0.20117259069256122,0.3132050036675061,1.0634371218966807
2010-01-01,-0.009722722362261516,-0.046476168963180665,-0.14740921487010203,-0.164432072991572,-0.13271060370178178,-0.0802187072837336,-0.04698546524392907,0.12074132128532573,0.2740215082024661,-0.014669350305535787,,
2010-02-01,0.13202913421588267,0.10478647849147076,0.11043504715546075,0.13179010154086457,0.11396114070824181,0.04742899903787904,0.10457753887943069,0.09703287890938271,0.25664183799801094,-0.10354383007898973,-0.049662614704740905,0.5692248406006956
2010-09-01,-0.2735419080726149,0.03432616535327885,0.019355148950494047,0.00961717441211155,0.187288169384744,0.565706538200805,0.3226390685640362,-0.006869264164422707,-0.15893571933129264,0.2270121044807815,,
2010-10-01,-0.05027719365322118,0.051439020512005273,-0.0028156609463822046,0.06501251863729689,0.0720733339558626,0.077383326685281,0.14867967853042488,0.1959245216080179,0.403947799242247,0.6917845307457384,-0.2850668729965733,-0.1766840553413474
2010-11-01,-0.041166951162739024,-0.11443659352919275,-0.1225715502430285,-0.0034326556842582535,-0.011800386955081966,-0.00038851548234180786,0.01689620275443299,0.0654227296989951,0.05466582290804635,0.30045457375926254,0.2487683312565895,0.29537767756482514
