,linear_pre,linear_post,post_const,pre_const,gap_const,enso,qboA,qboB,solar,pre_tropop,temp_sur,AO,NOI,EA,AOD
1984-01,-1.3002320376188423,0.0,0.0,1.0,0.0,-0.314,-1.2635300998199723,0.5389400594896168,-0.17346373389352904,,,,,,
1984-02,-1.291744525897178,0.0,0.0,1.0,0.0,-0.509,-1.2264053348179116,0.5665717388552645,0.36293103681220784,,,,,,
1984-03,-1.2838045955769113,0.0,0.0,1.0,0.0,0.151,-1.307805749671239,0.42203168688202203,0.008630821234722683,,,,,,
1984-04,-1.275317083855247,0.0,0.0,1.0,0.0,0.39,-1.182558497212995,0.7874456614732964,0.19985574467374612,,,,,,
1984-05,-1.2671033628342814,0.0,0.0,1.0,0.0,0.18,-1.0526427738252035,1.3526180367312908,0.2319833592837402,,,,,,
1984-06,-1.258615851112617,0.0,0.0,1.0,0.0,-0.049,-0.6481557953062181,1.797907391527337,-0.3681058439405663,,,,,,
1984-07,-1.2504021300916515,0.0,0.0,1.0,0.0,-0.054000000000000006,-0.24282359880038507,1.9103102808319352,-0.6124067148996902,,,,,,
1984-08,-1.2419146183699872,0.0,0.0,1.0,0.0,-0.155,0.22466855428334806,1.9264611547553665,-0.7517747826303393,,,,,,
1984-09,-1.2334271066483227,0.0,0.0,1.0,0.0,-0.12,0.6122255372773145,1.88490839306628,-0.8995762617851298,,,,,,
1984-10,-1.2252133856273573,0.0,0.0,1.0,0.0,-0.006,0.8158793767931464,1.6706004722948327,-1.0269445500764502,,,,,,
1984-11,-1.2167258739056928,0.0,0.0,1.0,0.0,-0.35,1.2978628471061502,1.0827664670868644,-0.9935861888572951,,,,,,
1984-12,-1.2085121528847274,0.0,0.0,1.0,0.0,-0.585,1.6151273243469482,0.740329665727205,-1.017713950507737,,,,,,
1985-01,-1.2000246411630628,0.0,0.0,1.0,0.0,-0.546,1.5333096274980802,0.25175676332624364,-1.0482728293829469,,,,,,
